City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.6789,156.125,11.24,73,95,1.14,overcast clouds
1,Lai,TD,9.3952,16.2989,22.82,86,100,2.54,overcast clouds
2,Haimen,CN,23.1935,116.6142,27.94,80,100,5.59,light rain
3,Qaanaaq,GL,77.484,-69.3632,-0.12,77,38,2.24,scattered clouds
4,Iqaluit,CA,63.7506,-68.5145,0.85,80,75,5.66,broken clouds
5,Punta Arenas,CL,-53.15,-70.9167,1.06,75,75,7.2,broken clouds
6,Busselton,AU,-33.65,115.3333,19.19,78,5,11.26,clear sky
7,Kaitangata,NZ,-46.2817,169.8464,6.97,72,11,1.64,few clouds
8,Russell,US,32.3502,-85.1999,29.78,94,0,0.0,clear sky
9,Port Elizabeth,ZA,-33.918,25.5701,9.16,71,0,1.03,clear sky
10,Southampton,GB,50.904,-1.4043,15.67,74,90,0.45,overcast clouds
11,Dikson,RU,73.5069,80.5464,-0.19,95,100,4.74,overcast clouds
12,Kursumlija,RS,43.1458,21.2686,15.4,70,65,0.94,broken clouds
13,Goderich,CA,43.7501,-81.7165,20.51,64,22,2.57,few clouds
14,Sambava,MG,-14.2667,50.1667,20.55,84,9,1.53,clear sky
15,Kodiak,US,57.79,-152.4072,13.73,72,100,3.6,overcast clouds
16,Avarua,CK,-21.2078,-159.775,25.03,73,57,2.06,broken clouds
17,Kapaa,US,22.0752,-159.319,26.99,86,100,5.14,overcast clouds
18,Albany,US,42.6001,-73.9662,19.54,86,100,2.9,overcast clouds
19,Mabaruma,GY,8.2,-59.7833,22.3,99,99,1.15,overcast clouds
20,Ilulissat,GL,69.2167,-51.1,3.01,87,100,2.06,overcast clouds
21,Hobart,AU,-42.8794,147.3294,11.92,84,75,4.12,light rain
22,Liuzhou,CN,24.3126,109.3892,27.04,87,100,3.58,overcast clouds
23,Lebu,CL,-37.6167,-73.65,10.13,87,97,3.38,overcast clouds
24,Zhigansk,RU,66.7697,123.3711,15.36,43,5,8.08,clear sky
25,Ushuaia,AR,-54.8,-68.3,-1.19,86,20,2.57,few clouds
26,Anadyr,RU,64.75,177.4833,17.28,48,0,9.0,clear sky
27,Port Hedland,AU,-20.3167,118.5667,30.03,21,75,6.17,broken clouds
28,Hvide Sande,DK,56.0045,8.1294,11.16,80,95,3.85,overcast clouds
29,Alta Gracia,AR,-31.6529,-64.4283,6.05,50,30,1.74,scattered clouds
30,Hermanus,ZA,-34.4187,19.2345,11.0,47,34,2.65,scattered clouds
31,Vaini,TO,-21.2,-175.2,26.09,78,40,4.12,scattered clouds
32,Cape Town,ZA,-33.9258,18.4232,15.23,51,0,6.17,clear sky
33,Rikitea,PF,-23.1203,-134.9692,22.59,65,47,1.37,scattered clouds
34,Chokurdakh,RU,70.6333,147.9167,9.41,51,78,5.19,broken clouds
35,Cockburn Town,TC,21.4612,-71.1419,27.48,80,77,6.7,broken clouds
36,Cuenca,EC,-2.8833,-78.9833,11.07,82,51,1.54,broken clouds
37,Glencoe,ZA,-28.1783,30.147,1.23,44,6,1.75,clear sky
38,Nikolskoye,RU,59.7035,30.7861,12.71,77,100,2.9,overcast clouds
39,Georgetown,MY,5.4112,100.3354,30.97,74,40,3.6,scattered clouds
40,Saint-Philippe,RE,-21.3585,55.7679,22.77,75,4,4.34,clear sky
41,Esperance,AU,-33.8667,121.9,21.76,61,0,7.62,clear sky
42,Mataura,NZ,-46.1927,168.8643,7.49,84,6,0.72,clear sky
43,Hithadhoo,MV,-0.6,73.0833,27.71,75,99,4.87,overcast clouds
44,Hasaki,JP,35.7333,140.8333,27.38,78,100,4.93,overcast clouds
45,Stende,LV,57.15,22.5333,11.7,88,17,1.46,few clouds
46,Caravelas,BR,-17.7125,-39.2481,19.99,80,0,1.6,clear sky
47,Bluff,NZ,-46.6,168.3333,7.67,67,9,1.13,clear sky
48,Barinas,VE,8.6226,-70.2075,24.02,100,88,0.51,overcast clouds
49,Boda,CF,4.3189,17.4695,20.36,97,100,1.09,light rain
50,Hilo,US,19.7297,-155.09,25.85,77,0,2.57,clear sky
51,Mozarlandia,BR,-14.7447,-50.5706,22.96,47,9,1.23,clear sky
52,Bonavista,CA,48.6499,-53.1147,8.67,88,2,5.43,clear sky
53,Jamestown,US,42.097,-79.2353,24.29,89,0,4.12,clear sky
54,Uige,AO,-7.6087,15.0613,14.91,72,50,1.59,scattered clouds
55,New Norfolk,AU,-42.7826,147.0587,11.72,87,100,1.1,overcast clouds
56,Kawambwa,ZM,-9.7915,29.0791,12.16,65,3,2.13,clear sky
57,Priiskovyy,RU,51.9333,116.6333,27.34,29,75,0.75,broken clouds
58,Kampong Cham,KH,11.9934,105.4635,32.75,58,89,3.23,overcast clouds
59,Bandarbeyla,SO,9.4942,50.8122,27.29,64,93,10.37,overcast clouds
60,Hualmay,PE,-11.0964,-77.6139,16.29,83,23,5.91,few clouds
61,Bengkulu,ID,-3.8004,102.2655,28.15,70,100,1.78,overcast clouds
62,Ferrol,ES,43.4832,-8.2369,18.53,87,55,0.81,broken clouds
63,Gorontalo,ID,0.5412,123.0595,31.04,61,11,2.28,few clouds
64,Norman Wells,CA,65.282,-126.8329,17.02,36,20,5.66,few clouds
65,Barrow,US,71.2906,-156.7887,8.01,76,75,5.66,broken clouds
66,Tilichiki,RU,60.4667,166.1,8.95,69,100,5.44,overcast clouds
67,Los Llanos De Aridane,ES,28.6585,-17.9182,17.86,82,20,4.63,few clouds
68,Ponta Do Sol,PT,32.6667,-17.1,19.84,75,27,1.61,scattered clouds
69,Khatanga,RU,71.9667,102.5,17.25,58,100,5.07,light rain
70,Weligama,LK,5.9667,80.4167,28.35,72,100,4.84,overcast clouds
71,Illela,NG,13.7292,5.2975,25.14,73,97,5.62,moderate rain
72,Zavodouspenskoye,RU,56.8626,65.0155,23.12,59,17,1.45,few clouds
73,Lima,PE,-12.0432,-77.0282,15.14,82,0,3.6,clear sky
74,Geraldton,AU,-28.7667,114.6,23.23,78,75,11.32,broken clouds
75,Kande,TG,9.9578,1.0447,21.67,94,100,1.71,overcast clouds
76,Antalaha,MG,-14.9003,50.2788,20.05,84,5,1.16,clear sky
77,Arraial Do Cabo,BR,-22.9661,-42.0278,20.3,78,0,7.76,clear sky
78,Kamaishi,JP,39.2667,141.8833,21.53,78,100,4.14,overcast clouds
79,Atuona,PF,-9.8,-139.0333,25.52,70,0,8.73,clear sky
80,Puerto Ayora,EC,-0.7393,-90.3518,21.42,96,75,1.79,broken clouds
81,Victoria,HK,22.2855,114.1577,30.74,83,100,7.6,light rain
82,Simbahan,PH,6.3032,120.5836,28.33,73,76,2.45,broken clouds
83,Port Hardy,CA,50.6996,-127.4199,13.1,76,75,1.54,light intensity shower rain
84,Pevek,RU,69.7008,170.3133,1.18,79,14,3.99,few clouds
85,Havoysund,NO,70.9963,24.6622,5.13,81,100,4.83,overcast clouds
86,Mahanoro,MG,-19.9,48.8,19.62,93,18,2.24,light rain
87,East London,ZA,-33.0153,27.9116,12.33,42,86,3.51,overcast clouds
88,Alofi,NU,-19.0595,-169.9187,25.94,83,80,6.17,broken clouds
89,Kavaratti,IN,10.5669,72.642,28.03,77,98,5.74,overcast clouds
90,Tuatapere,NZ,-46.1333,167.6833,5.85,86,7,0.35,clear sky
91,Longyearbyen,SJ,78.2186,15.6401,3.91,87,75,4.12,broken clouds
92,Hopewell,US,37.3043,-77.2872,25.08,83,100,2.3,overcast clouds
