City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lorengau,35,$Y-$m-16 10:23:22,-2.0226,147.2712,27.83,73,35,3.38
1,Ushuaia,75,$Y-$m-16 10:23:23,-54.8,-68.3,3.81,87,75,6.69
2,Yellowknife,100,$Y-$m-16 10:20:36,62.456,-114.3525,11.29,76,100,3.09
3,Punta Arenas,100,$Y-$m-16 10:23:24,-53.15,-70.9167,6.06,81,100,6.69
4,Qaanaaq,56,$Y-$m-16 10:23:24,77.484,-69.3632,-2.53,70,56,2.09
5,Shatrovo,9,$Y-$m-16 10:21:11,56.5167,64.6333,24.42,40,9,1.0
6,Chokurdakh,67,$Y-$m-16 10:23:25,70.6333,147.9167,17.95,38,67,5.43
7,Maumere,43,$Y-$m-16 10:23:26,-8.6199,122.2111,26.59,75,43,2.47
8,Sitka,0,$Y-$m-16 10:23:26,57.0531,-135.33,10.94,76,0,0.0
9,Sfantu Gheorghe,13,$Y-$m-16 10:23:27,45.8667,25.7833,25.52,49,13,1.14
10,Kavieng,61,$Y-$m-16 10:23:28,-2.5744,150.7967,27.36,79,61,4.18
11,Torbay,20,$Y-$m-16 10:23:28,47.6666,-52.7314,12.38,70,20,2.06
12,Avarua,20,$Y-$m-16 10:23:29,-21.2078,-159.775,21.03,94,20,1.03
13,Kaitangata,97,$Y-$m-16 10:23:30,-46.2817,169.8464,5.67,77,97,4.74
14,Norman Wells,20,$Y-$m-16 10:23:31,65.282,-126.8329,7.02,70,20,3.09
15,Albany,54,$Y-$m-16 10:19:24,42.6001,-73.9662,19.24,78,54,0.45
16,Belaya Gora,15,$Y-$m-16 10:23:32,68.5333,146.4167,20.22,35,15,5.99
17,Rikitea,72,$Y-$m-16 10:23:32,-23.1203,-134.9692,22.56,67,72,3.19
18,Nanchong,93,$Y-$m-16 10:23:32,30.7951,106.0847,30.84,48,93,2.59
19,Yarmouth,0,$Y-$m-16 10:23:34,41.7057,-70.2286,16.68,94,0,0.45
20,Roma,100,$Y-$m-16 10:21:21,43.2128,-75.4557,20.48,91,100,5.66
21,Mahebourg,40,$Y-$m-16 10:23:35,-20.4081,57.7,25.7,73,40,7.72
22,Maketu,6,$Y-$m-16 10:23:36,-37.7667,176.45,14.47,81,6,4.75
23,Tuktoyaktuk,0,$Y-$m-16 10:23:36,69.4541,-133.0374,2.7,73,0,5.85
24,Daru,69,$Y-$m-16 10:23:37,-9.0763,143.2092,26.12,89,69,6.07
25,Rawson,0,$Y-$m-16 10:23:37,-43.3002,-65.1023,5.92,72,0,4.44
26,Wuwei,77,$Y-$m-16 10:23:38,37.9281,102.6414,34.34,7,77,2.82
27,Nizhniy Tsasuchey,7,$Y-$m-16 10:23:38,50.5167,115.1333,26.77,27,7,2.88
